gene	baseMean	log2FC	stderror	padj
CNAG_02987	6.6843	1.4482	0.47229	0.041972
CNAG_01803	2966.8	1.4459	0.24353	1.4833e-6
CNAG_00539	2121.3	1.2844	0.36093	0.012651
CNAG_02577	4224.8	1.2623	0.23666	2.6344e-5
CNAG_06207	62940	1.2038	0.20644	2.6173e-6
CNAG_06298	33155	1.1732	0.2784	0.0018002
CNAG_02899	65.199	1.1717	0.23792	1.2197e-4
CNAG_04727	236.15	1.1637	0.29006	0.0035742
CNAG_06718	30.905	1.1457	0.26215	0.0011465
CNAG_02031	31.667	1.1423	0.36137	0.033502
CNAG_06388	22376	1.1273	0.35183	0.029838
CNAG_05251	232.21	1.1156	0.27355	0.0028357
CNAG_05988	42.832	1.1149	0.33659	0.02244
CNAG_03838	147.12	1.0898	0.21504	7.2355e-5
CNAG_06835	189.11	1.0811	0.22975	2.6695e-4
CNAG_03438	3077.3	1.0669	0.21186	8.1133e-5
CNAG_06297	11376	1.0385	0.32139	0.028098
CNAG_04787	36.454	1.038	0.34069	0.043957
CNAG_07745	12406	1.0337	0.23288	8.7186e-4
CNAG_00637	211.19	1.0166	0.19702	4.9762e-5
CNAG_00162	15702	1.0095	0.17692	4.8118e-6
CNAG_02751	664.76	1.0074	0.23661	0.0015432
