gene	baseMean	log2FC	stderror	padj
CNAG_00795	12.552	3.0174	0.73399	9.6797e-4
CNAG_05454	4.1687	2.789	1.009	0.039308
CNAG_00749	66.873	1.8581	0.34865	8.0502e-6
CNAG_01714	6.6544	1.6334	0.58717	0.037848
CNAG_02751	664.76	1.5719	0.23923	1.475e-8
CNAG_02031	31.667	1.5187	0.46134	0.011076
CNAG_04903	775.53	1.427	0.22469	5.3818e-8
CNAG_00848	6148.3	1.3755	0.21201	2.4582e-8
CNAG_06267	203.79	1.349	0.27634	5.5753e-5
CNAG_01527	27.552	1.3163	0.36165	0.0041763
CNAG_00091	361.17	1.2828	0.21349	2.9493e-7
CNAG_04386	157.38	1.2762	0.22601	1.9119e-6
CNAG_05683	1105.6	1.2759	0.26159	5.6081e-5
CNAG_06718	30.905	1.27	0.29471	4.6446e-4
CNAG_03492	4073.9	1.2534	0.21889	1.3146e-6
CNAG_04105	10705	1.2395	0.18202	3.1618e-9
CNAG_05836	103.62	1.2372	0.20476	2.5131e-7
CNAG_05079	69.57	1.2352	0.30914	0.0013849
CNAG_00834	31.839	1.1993	0.26957	2.8269e-4
CNAG_04322	2018.5	1.1613	0.28544	0.0010925
CNAG_04727	236.15	1.1523	0.29766	0.0021232
CNAG_01047	252.47	1.1489	0.25052	1.7102e-4
CNAG_03728	56.161	1.1431	0.28246	0.0011766
CNAG_03817	998.09	1.1302	0.13936	4.9181e-13
CNAG_02899	65.199	1.1279	0.24865	2.0672e-4
CNAG_01585	361.65	1.1266	0.19606	1.214e-6
CNAG_04744	322.38	1.1199	0.22424	3.4242e-5
CNAG_06800	2184.8	1.1068	0.15942	1.6301e-9
CNAG_04793	123.13	1.106	0.21223	1.3372e-5
CNAG_00849	39.324	1.0936	0.25896	6.5143e-4
CNAG_06396	327.8	1.0929	0.24439	2.6124e-4
CNAG_03408	256.05	1.0874	0.24834	3.6492e-4
CNAG_05988	42.832	1.0869	0.36563	0.02447
CNAG_00984	648.37	1.0807	0.22356	6.6291e-5
CNAG_04076	274.41	1.0734	0.29204	0.0037692
CNAG_06169	205.98	1.0691	0.19782	5.8063e-6
CNAG_02070	9942	1.0674	0.27754	0.0022545
CNAG_05873	279.41	1.0643	0.19962	8.0502e-6
CNAG_00866	387.94	1.0639	0.20383	1.3069e-5
CNAG_07939	5771.2	1.0586	0.2428	3.9215e-4
CNAG_02942	237.92	1.0558	0.29307	0.0046235
CNAG_05341	40.561	1.0539	0.30179	0.0064683
CNAG_06207	62940	1.0473	0.20646	2.3962e-5
CNAG_01989	99.222	1.0441	0.19071	4.1855e-6
CNAG_00107	122.42	1.0425	0.26211	0.0014817
CNAG_00870	419.67	1.0419	0.17002	1.6758e-7
CNAG_02815	569.31	1.0374	0.25856	0.0013082
CNAG_01761	14582	1.0308	0.14737	1.2041e-9
CNAG_01348	401.43	1.0305	0.16252	5.5224e-8
CNAG_02577	4224.8	1.0231	0.23661	4.465e-4
CNAG_03143	2761.7	1.0231	0.32356	0.015243
CNAG_05458	517.15	1.0194	0.17699	1.1435e-6
CNAG_01737	2626.4	1.0127	0.14649	1.7839e-9
CNAG_05259	91.547	1.0087	0.18011	2.3333e-6
CNAG_03142	1762.8	1.0075	0.20337	4.0408e-5
CNAG_04659	21697	1.0053	0.1791	2.2123e-6
CNAG_02006	140.25	1.0051	0.21561	1.298e-4
CNAG_07765	219.46	1.0036	0.23865	6.9029e-4
