"","Gene","Product"
"1","CNAG_00776","immunoreactive mannoprotein MP88"
"2","CNAG_02323","hypothetical protein"
"3","CNAG_02830","delta24(24(1))-sterol reductase"
"4","CNAG_03223","hypothetical protein"
"5","CNAG_04681","hypothetical protein"
"6","CNAG_04681","hypothetical protein, variant"
"7","CNAG_04752","hypothetical protein"
"8","CNAG_05144","carbonic anhydrase"
"9","CNAG_05312","hypothetical protein"
"10","CNAG_06336","glucan 1,3-beta-glucosidase"
"11","CNAG_07770","ferric-chelate reductase"
