"","Gene","Product"
"1","CNAG_00598","nicotinamide mononucleotide permease"
"2","CNAG_00674","hypothetical protein"
"3","CNAG_00883","transcription factor"
"4","CNAG_01551","hypothetical protein"
"5","CNAG_01983","cAMP-independent regulatory protein"
"6","CNAG_02225","glucan 1,3-beta-glucosidase"
"7","CNAG_02323","hypothetical protein"
"8","CNAG_02658","hypothetical protein"
"9","CNAG_02684","hypothetical protein"
"10","CNAG_02797","hypothetical protein"
"11","CNAG_03438","hexose transporter"
"12","CNAG_03727","hypothetical protein"
"13","CNAG_03841","hypothetical protein"
"14","CNAG_04213","signal transducer"
"15","CNAG_04623","hypothetical protein"
"16","CNAG_04756","hypothetical protein"
"17","CNAG_04969","UDP-glucose 6-dehydrogenase"
"18","CNAG_05159","hypothetical protein, variant"
"19","CNAG_05159","hypothetical protein"
"20","CNAG_05229","stomatin family protein"
"21","CNAG_05312","hypothetical protein"
"22","CNAG_05313","hypothetical protein, variant 4"
"23","CNAG_05313","hypothetical protein, variant 3"
"24","CNAG_05313","hypothetical protein, variant 1"
"25","CNAG_05313","hypothetical protein, variant 2"
"26","CNAG_05313","hypothetical protein"
"27","CNAG_05835","hypothetical protein, variant"
"28","CNAG_05835","hypothetical protein"
"29","CNAG_05867","L-fucose transporter"
"30","CNAG_06200","hypothetical protein"
"31","CNAG_06200","hypothetical protein, variant"
"32","CNAG_06241","acidic laccase"
"33","CNAG_06242","high-affinity iron permease CaFTR1"
"34","CNAG_06346","hypothetical protein"
"35","CNAG_06493","hypothetical protein"
"36","CNAG_06762","hypothetical protein"
"37","CNAG_06835","glucosidase"
"38","CNAG_07869","hypothetical protein"
