"","Gene","Product"
"1","CNAG_05263","hypothetical protein"
"2","CNAG_06242","high-affinity iron permease CaFTR1"
"3","CNAG_06762","hypothetical protein"
"4","CNAG_07401","hypothetical protein"
"5","CNAG_00074","protein PNS1"
"6","CNAG_00107","hypothetical protein"
"7","CNAG_00126","2-deoxy-D-gluconate 3-dehydrogenase"
"8","CNAG_00264","nuclease I"
"9","CNAG_00264","nuclease I, variant"
"10","CNAG_00302","hypothetical protein"
"11","CNAG_00374","hypothetical protein"
"12","CNAG_00407","glyoxal oxidase"
"13","CNAG_00456","hypothetical protein"
"14","CNAG_00581","saccharopepsin"
"15","CNAG_00597","amino acid transporter, variant"
"16","CNAG_00597","amino acid transporter"
"17","CNAG_00598","nicotinamide mononucleotide permease"
"18","CNAG_00654","sulfiredoxin"
"19","CNAG_00674","hypothetical protein"
"20","CNAG_00735","aldehyde dehydrogenase family 7 member A1"
"21","CNAG_00883","transcription factor"
"22","CNAG_01052","hypothetical protein"
"23","CNAG_01551","hypothetical protein"
"24","CNAG_01742","aquaporin-associated protein"
"25","CNAG_01777","glyoxylate reductase"
"26","CNAG_01983","cAMP-independent regulatory protein"
"27","CNAG_02118","hypothetical protein"
"28","CNAG_02225","glucan 1,3-beta-glucosidase"
"29","CNAG_02226","hypothetical protein"
"30","CNAG_02297","hypothetical protein"
"31","CNAG_02323","hypothetical protein"
"32","CNAG_02561","spermine transporter"
"33","CNAG_03058","hypothetical protein"
"34","CNAG_03113","trehalose synthase"
"35","CNAG_03143","hypothetical protein"
"36","CNAG_03438","hexose transporter"
"37","CNAG_03644","hypothetical protein"
"38","CNAG_03705","hypothetical protein"
"39","CNAG_03727","hypothetical protein"
"40","CNAG_03848","glutathione transferase"
"41","CNAG_03848","glutathione transferase, variant"
"42","CNAG_03894","hypothetical protein"
"43","CNAG_04416","major facilitator superfamily transporter"
"44","CNAG_04625","cerevisin"
"45","CNAG_04735","extracellular elastinolytic metalloproteinase"
"46","CNAG_04756","hypothetical protein"
"47","CNAG_04874","hypothetical protein"
"48","CNAG_04877","hypothetical protein"
"49","CNAG_05161","hypothetical protein, variant"
"50","CNAG_05161","hypothetical protein"
"51","CNAG_05229","stomatin family protein"
"52","CNAG_05312","hypothetical protein"
"53","CNAG_05313","hypothetical protein, variant 4"
"54","CNAG_05313","hypothetical protein, variant 3"
"55","CNAG_05313","hypothetical protein, variant 1"
"56","CNAG_05313","hypothetical protein, variant 2"
"57","CNAG_05313","hypothetical protein"
"58","CNAG_05632","hypothetical protein"
"59","CNAG_05742","hypothetical protein"
"60","CNAG_05813","hypothetical protein"
"61","CNAG_05835","hypothetical protein, variant"
"62","CNAG_05835","hypothetical protein"
"63","CNAG_05870","hypothetical protein"
"64","CNAG_05870","hypothetical protein, variant"
"65","CNAG_05915","hypothetical protein"
"66","CNAG_05916","hypothetical protein"
"67","CNAG_05962","hypothetical protein, variant 2"
"68","CNAG_05962","hypothetical protein, variant 1"
"69","CNAG_05962","hypothetical protein"
"70","CNAG_05994","multidrug transporter"
"71","CNAG_06186","hypothetical protein"
"72","CNAG_06186","hypothetical protein, variant 1"
"73","CNAG_06186","hypothetical protein, variant 2"
"74","CNAG_06200","hypothetical protein"
"75","CNAG_06200","hypothetical protein, variant"
"76","CNAG_06241","acidic laccase"
"77","CNAG_06336","glucan 1,3-beta-glucosidase"
"78","CNAG_06346","hypothetical protein"
"79","CNAG_06389","hypothetical protein"
"80","CNAG_06432","acetate kinase"
"81","CNAG_06554","FAD dependent oxidoreductase"
"82","CNAG_06657","hypothetical protein"
"83","CNAG_06658","rhomboid family membrane protein"
"84","CNAG_06785","kynurenine 3-monooxygenase"
"85","CNAG_06917","thiol-specific antioxidant protein 3"
"86","CNAG_07339","hypothetical protein"
"87","CNAG_07442","phosphatidylglycerol/phosphatidylinositol transfer protein"
"88","CNAG_07626","NAD-binding Rossmann fold oxidoreductase"
"89","CNAG_07736","glucan endo-1,3-alpha-glucosidase agn1"
"90","CNAG_07869","hypothetical protein"
