"","Gene","Product"
"1","CNAG_00269","sorbitol dehydrogenase"
"2","CNAG_00399","transformer-2-beta isoform 3"
"3","CNAG_00765","hypothetical protein"
"4","CNAG_01119","POT family proton-dependent oligopeptide transporter"
"5","CNAG_01275","hypothetical protein"
"6","CNAG_01562","hypothetical protein, variant"
"7","CNAG_01562","hypothetical protein"
"8","CNAG_01936","sugar transporter"
"9","CNAG_01965","hypothetical protein"
"10","CNAG_03346","hypothetical protein"
"11","CNAG_04025","transaldolase"
"12","CNAG_04142","tartrate transporter"
"13","CNAG_04471","FAD dependent oxidoreductase"
"14","CNAG_04622","endoplasmic reticulum protein"
"15","CNAG_04758","amt family ammonium transporter"
"16","CNAG_04807","hypothetical protein"
"17","CNAG_04837","hypothetical protein"
"18","CNAG_05075","solute carrier family 20 (sodium-dependent phosphate transporter)"
"19","CNAG_05662","sugar transporter"
"20","CNAG_05833","allantoate transporter"
"21","CNAG_05913","alpha-glucosidase"
"22","CNAG_05914","MFS transporter, SP family, general alpha glucoside:H symporter"
"23","CNAG_06347","hypothetical protein"
"24","CNAG_06431","acyl-CoA oxidase"
"25","CNAG_06541","hypothetical protein, variant"
"26","CNAG_06541","hypothetical protein"
"27","CNAG_06698","phosphatase"
"28","CNAG_07491","glutaredoxin"
"29","CNAG_07984","hypothetical protein"
