"","Gene","Product"
"1","CNAG_07401","hypothetical protein"
"2","CNAG_00107","hypothetical protein"
"3","CNAG_00126","2-deoxy-D-gluconate 3-dehydrogenase"
"4","CNAG_00374","hypothetical protein"
"5","CNAG_00456","hypothetical protein"
"6","CNAG_00581","saccharopepsin"
"7","CNAG_00597","amino acid transporter, variant"
"8","CNAG_00597","amino acid transporter"
"9","CNAG_00598","nicotinamide mononucleotide permease"
"10","CNAG_00654","sulfiredoxin"
"11","CNAG_00674","hypothetical protein"
"12","CNAG_00883","transcription factor"
"13","CNAG_01551","hypothetical protein"
"14","CNAG_01777","glyoxylate reductase"
"15","CNAG_01983","cAMP-independent regulatory protein"
"16","CNAG_02561","spermine transporter"
"17","CNAG_03143","hypothetical protein"
"18","CNAG_03438","hexose transporter"
"19","CNAG_03644","hypothetical protein"
"20","CNAG_03727","hypothetical protein"
"21","CNAG_03848","glutathione transferase"
"22","CNAG_03848","glutathione transferase, variant"
"23","CNAG_03894","hypothetical protein"
"24","CNAG_04756","hypothetical protein"
"25","CNAG_04874","hypothetical protein"
"26","CNAG_05229","stomatin family protein"
"27","CNAG_05263","hypothetical protein"
"28","CNAG_05312","hypothetical protein"
"29","CNAG_05313","hypothetical protein, variant 4"
"30","CNAG_05313","hypothetical protein, variant 3"
"31","CNAG_05313","hypothetical protein, variant 1"
"32","CNAG_05313","hypothetical protein, variant 2"
"33","CNAG_05313","hypothetical protein"
"34","CNAG_05742","hypothetical protein"
"35","CNAG_05835","hypothetical protein, variant"
"36","CNAG_05835","hypothetical protein"
"37","CNAG_05915","hypothetical protein"
"38","CNAG_05916","hypothetical protein"
"39","CNAG_06186","hypothetical protein"
"40","CNAG_06186","hypothetical protein, variant 1"
"41","CNAG_06186","hypothetical protein, variant 2"
"42","CNAG_06200","hypothetical protein"
"43","CNAG_06200","hypothetical protein, variant"
"44","CNAG_06241","acidic laccase"
"45","CNAG_06242","high-affinity iron permease CaFTR1"
"46","CNAG_06346","hypothetical protein"
"47","CNAG_06554","FAD dependent oxidoreductase"
"48","CNAG_06657","hypothetical protein"
"49","CNAG_06658","rhomboid family membrane protein"
"50","CNAG_06762","hypothetical protein"
"51","CNAG_06785","kynurenine 3-monooxygenase"
"52","CNAG_06917","thiol-specific antioxidant protein 3"
"53","CNAG_07442","phosphatidylglycerol/phosphatidylinositol transfer protein"
"54","CNAG_07869","hypothetical protein"
