"","Gene","Product"
"1","CNAG_00849","hypothetical protein"
"2","CNAG_00269","sorbitol dehydrogenase"
"3","CNAG_00315","HHE domain-containing protein"
"4","CNAG_00393","1,4-alpha-glucan-branching enzyme"
"5","CNAG_00399","transformer-2-beta isoform 3"
"6","CNAG_00400","secondary thiamine-phosphate synthase enzyme"
"7","CNAG_00400","secondary thiamine-phosphate synthase enzyme, variant"
"8","CNAG_00701","hypothetical protein"
"9","CNAG_00749","alternative sulfate transporter"
"10","CNAG_00765","hypothetical protein"
"11","CNAG_00865","maltose O-acetyltransferase"
"12","CNAG_00866","transketolase, variant"
"13","CNAG_00866","transketolase"
"14","CNAG_00923","membrane protein"
"15","CNAG_01119","POT family proton-dependent oligopeptide transporter"
"16","CNAG_01275","hypothetical protein"
"17","CNAG_01464","nitric oxide dioxygenase"
"18","CNAG_01552","blocked early in transport 1"
"19","CNAG_01562","hypothetical protein, variant"
"20","CNAG_01562","hypothetical protein"
"21","CNAG_01605","rossman fold oxidoreductase"
"22","CNAG_01683","monosaccharide transporter"
"23","CNAG_01965","hypothetical protein"
"24","CNAG_01995","hypothetical protein"
"25","CNAG_02553","short-chain dehydrogenase"
"26","CNAG_02814","glycerol-3-phosphate dehydrogenase"
"27","CNAG_02815","glycerol-3-phosphate dehydrogenase"
"28","CNAG_03136","hypothetical protein"
"29","CNAG_03295","hypothetical protein"
"30","CNAG_03492","hypothetical protein"
"31","CNAG_03565","plasma-membrane proton-efflux P-type ATPase"
"32","CNAG_04038","MFS quinate transporter QutD"
"33","CNAG_04077","hypothetical protein"
"34","CNAG_04101","hypothetical protein"
"35","CNAG_04141","vacuolar protein"
"36","CNAG_04142","tartrate transporter"
"37","CNAG_04622","endoplasmic reticulum protein"
"38","CNAG_04631","ribitol kinase"
"39","CNAG_04837","hypothetical protein"
"40","CNAG_04903","hypothetical protein"
"41","CNAG_05077","glycosyl hydrolase"
"42","CNAG_05449","hypothetical protein"
"43","CNAG_05458","endo-1,3(4)-beta-glucanase"
"44","CNAG_05662","sugar transporter"
"45","CNAG_05833","allantoate transporter"
"46","CNAG_05836","alpha 1,6-mannosyltransferase"
"47","CNAG_06347","hypothetical protein"
"48","CNAG_06401","hypothetical protein"
"49","CNAG_06401","hypothetical protein, variant 2"
"50","CNAG_06401","hypothetical protein, variant 1"
"51","CNAG_06541","hypothetical protein, variant"
"52","CNAG_06541","hypothetical protein"
"53","CNAG_06623","inositol oxygenase"
"54","CNAG_06698","phosphatase"
"55","CNAG_06932","sugar transporter"
"56","CNAG_06963","sugar transporter"
"57","CNAG_07367","amino acid transporter"
"58","CNAG_07367","amino acid transporter, variant"
"59","CNAG_07491","glutaredoxin"
"60","CNAG_07690","hypothetical protein"
"61","CNAG_07874","sugar transporter"
"62","CNAG_07984","hypothetical protein"
"63","CNAG_07989","hypothetical protein"
"64","CNAG_07989","hypothetical protein"
