"","Gene","Product"
"1","CNAG_02553","short-chain dehydrogenase"
"2","CNAG_01571","hypothetical protein"
"3","CNAG_01551","hypothetical protein"
"4","CNAG_02225","glucan 1,3-beta-glucosidase"
"5","CNAG_01275","hypothetical protein"
"6","CNAG_06484","hypothetical protein"
"7","CNAG_03754","short-chain dehydrogenase/reductase SDR"
"8","CNAG_07913","hypothetical protein"
"9","CNAG_06568","RAN protein kinase"
"10","CNAG_03759","conidiation-specific protein 6"
"11","CNAG_07594","hypothetical protein"
"12","CNAG_01936","sugar transporter"
"13","CNAG_01369","hypothetical protein"
"14","CNAG_01598","template-activating factor I"
"15","CNAG_04025","transaldolase"
"16","CNAG_02226","hypothetical protein"
"17","CNAG_03433","endo alpha-1,4 polygalactosaminidase precursor"
"18","CNAG_01569","hypothetical protein"
"19","CNAG_00827","ribose 5-phosphate isomerase"
"20","CNAG_06836","oxidoreductase"
"21","CNAG_03525","alpha,alpha-trehalase"
"22","CNAG_00094","NAD-dependent epimerase/dehydratase"
"23","CNAG_00765","hypothetical protein"
"24","CNAG_01969","zinc metalloprotease"
"25","CNAG_00800","nicotinamidase"
"26","CNAG_05727","hypothetical protein"
"27","CNAG_00726","hypothetical protein"
"28","CNAG_04926","hypothetical protein"
"29","CNAG_07990","hypothetical protein"
"30","CNAG_05548","hypothetical protein"
