"","Gene","Product"
"1","CNAG_02984","sarcosine oxidase"
"2","CNAG_07912","hypothetical protein"
"3","CNAG_01500","taurine dioxygenase"
"4","CNAG_05662","sugar transporter"
"5","CNAG_01562","hypothetical protein, variant"
"6","CNAG_01562","hypothetical protein"
"7","CNAG_06347","hypothetical protein"
"8","CNAG_05833","allantoate transporter"
"9","CNAG_00765","hypothetical protein"
"10","CNAG_01272","hypothetical protein"
"11","CNAG_04098","ATP-binding cassette, subfamily G (WHITE), member 2, PDR"
"12","CNAG_04291","glycosyl-hydrolase"
"13","CNAG_07874","sugar transporter"
"14","CNAG_01995","hypothetical protein"
"15","CNAG_04657","short-chain dehydrogenase"
"16","CNAG_01275","hypothetical protein"
"17","CNAG_01056","hypothetical protein"
"18","CNAG_00827","ribose 5-phosphate isomerase"
"19","CNAG_07826","hypothetical protein"
"20","CNAG_02864","hypothetical protein"
"21","CNAG_02942","hypothetical protein"
"22","CNAG_01539","myo-inositol-1-phosphate synthase"
"23","CNAG_00588","hypothetical protein"
"24","CNAG_06541","hypothetical protein, variant"
"25","CNAG_06541","hypothetical protein"
"26","CNAG_01683","monosaccharide transporter"
"27","CNAG_04142","tartrate transporter"
"28","CNAG_00399","transformer-2-beta isoform 3"
"29","CNAG_00865","maltose O-acetyltransferase"
"30","CNAG_01560","hypothetical protein"
"31","CNAG_04076","hypothetical protein"
"32","CNAG_04903","hypothetical protein"
"33","CNAG_00400","secondary thiamine-phosphate synthase enzyme"
"34","CNAG_00400","secondary thiamine-phosphate synthase enzyme, variant"
"35","CNAG_01965","hypothetical protein"
"36","CNAG_06963","sugar transporter"
"37","CNAG_03782","hypothetical protein"
"38","CNAG_07752","UDP-galactopyranose mutase"
"39","CNAG_05836","alpha 1,6-mannosyltransferase"
"40","CNAG_03759","conidiation-specific protein 6"
"41","CNAG_06623","inositol oxygenase"
"42","CNAG_01735","hypothetical protein"
"43","CNAG_01524","hypothetical protein"
"44","CNAG_05449","hypothetical protein"
"45","CNAG_01131","hypothetical protein"
"46","CNAG_05458","endo-1,3(4)-beta-glucanase"
"47","CNAG_01534","hypothetical protein"
"48","CNAG_07984","hypothetical protein"
"49","CNAG_06628","aldehyde dehydrogenase (NAD)"
"50","CNAG_01584","hydrolase"
"51","CNAG_06905","cytoplasmic protein"
"52","CNAG_07491","glutaredoxin"
"53","CNAG_00923","membrane protein"
"54","CNAG_06698","phosphatase"
"55","CNAG_01605","rossman fold oxidoreductase"
"56","CNAG_05077","glycosyl hydrolase"
"57","CNAG_04837","hypothetical protein"
"58","CNAG_05031","3-oxoacid CoA-transferase"
"59","CNAG_00315","HHE domain-containing protein"
"60","CNAG_03565","plasma-membrane proton-efflux P-type ATPase"
"61","CNAG_00393","1,4-alpha-glucan-branching enzyme"
"62","CNAG_02925","d-arabinitol 2-dehydrogenase"
"63","CNAG_07367","amino acid transporter"
"64","CNAG_07367","amino acid transporter, variant"
"65","CNAG_06396","hypothetical protein"
"66","CNAG_02120","TIGR01456 family HAD hydrolase"
"67","CNAG_07765","hypothetical protein"
"68","CNAG_00250","hypothetical protein"
"69","CNAG_07638","hypothetical protein"
"70","CNAG_02553","short-chain dehydrogenase"
"71","CNAG_01585","hypothetical protein"
"72","CNAG_02759","hypothetical protein"
"73","CNAG_04501","anthranilate synthase/indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase"
"74","CNAG_04195","O-methyltransferase"
"75","CNAG_04077","hypothetical protein"
"76","CNAG_07690","hypothetical protein"
"77","CNAG_04622","endoplasmic reticulum protein"
"78","CNAG_04631","ribitol kinase"
"79","CNAG_00866","transketolase, variant"
"80","CNAG_00866","transketolase"
"81","CNAG_04345","specific RNA polymerase II transcription factor"
"82","CNAG_06949","hypothetical protein"
"83","CNAG_01564","nucleolar protein 12"
"84","CNAG_02775","hypothetical protein"
"85","CNAG_02011","PQQ enzyme repeat protein"
"86","CNAG_00701","hypothetical protein"
"87","CNAG_06169","hypothetical protein"
"88","CNAG_04101","hypothetical protein"
"89","CNAG_02489","alcohol dehydrogenase, propanol-preferring"
"90","CNAG_07594","hypothetical protein"
"91","CNAG_04038","MFS quinate transporter QutD"
"92","CNAG_02473","endoplasmic reticulum protein"
"93","CNAG_03961","hypothetical protein"
"94","CNAG_04141","vacuolar protein"
"95","CNAG_03492","hypothetical protein"
"96","CNAG_00749","alternative sulfate transporter"
"97","CNAG_03983","oxidoreductase"
"98","CNAG_01552","blocked early in transport 1"
"99","CNAG_02815","glycerol-3-phosphate dehydrogenase"
"100","CNAG_03572","opsin 1"
"101","CNAG_07989","hypothetical protein"
"102","CNAG_07989","hypothetical protein"
"103","CNAG_03082","cupin domain-containing protein"
"104","CNAG_05608","hypothetical protein"
"105","CNAG_04975","hypothetical protein"
"106","CNAG_00269","sorbitol dehydrogenase"
"107","CNAG_06381","hypothetical protein"
"108","CNAG_06932","sugar transporter"
"109","CNAG_02035","triose-phosphate isomerase"
"110","CNAG_02751","short-chain dehydrogenase"
"111","CNAG_05260","glutamate decarboxylase"
"112","CNAG_01593","ribosome biogenesis protein SSF1/2"
"113","CNAG_06993","hypothetical protein"
"114","CNAG_03764","integral membrane protein"
"115","CNAG_04386","hypothetical protein"
"116","CNAG_03295","hypothetical protein"
"117","CNAG_01527","hypothetical protein"
"118","CNAG_03136","hypothetical protein"
"119","CNAG_01119","POT family proton-dependent oligopeptide transporter"
"120","CNAG_04978","phytanoyl-CoA dioxygenase"
"121","CNAG_02591","hypothetical protein"
"122","CNAG_00849","hypothetical protein"
"123","CNAG_01464","nitric oxide dioxygenase"
"124","CNAG_04086","hypothetical protein"
"125","CNAG_02814","glycerol-3-phosphate dehydrogenase"
"126","CNAG_03728","hypothetical protein"
"127","CNAG_07409","DNA-directed RNA polymerase, mitochondrial"
"128","CNAG_07630","U3 small nucleolar ribonucleoprotein IMP4"
"129","CNAG_06194","hypothetical protein"
"130","CNAG_06401","hypothetical protein"
"131","CNAG_06401","hypothetical protein, variant 2"
"132","CNAG_06401","hypothetical protein, variant 1"
